timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
273708030,273707998,0.009182841,0.002583103,-0.010938002
273728042,273728008,0.0075642895,0.012088269,-0.0012478378
273748031,273747997,-0.02656697,-0.0010697194,0.00011096237
273770711,273770680,0.015913485,0.003245701,-0.004261902
273793031,273792998,-0.0021305284,0.0032225668,0.0038777452
273813037,273813004,0.0041068303,0.01477581,-0.01435208
273832038,273832004,0.00090675964,0.014232248,0.014649917
273852074,273852040,-0.006298486,0.012550172,-0.0008518301
273871021,273870987,-0.00050827145,0.0060160733,-0.006150943
273898036,273898004,-0.02497064,-0.0066417577,0.012003656
273918072,273918040,0.00032493257,0.0051470865,-0.009877028
273938037,273938004,0.012305013,-0.009831835,0.0038888438
273957031,273956998,0.0160553,-0.0030463745,0.013016988
273982029,273981997,0.015219727,-0.0054662293,0.011902696
